"","region","year","不识字或识字很少（人）","中专程度（人）","农业机械总动力（万千瓦）","初中程度（人）","大专及大专以上（人）","小学程度（人）","旱地面积占比（%）","水田面积占比（%）","油料播种面积（千公顷）","瓜果类播种面积（千公顷）","蔬菜播种面积（千公顷）","高中程度（人）","露地圆白菜_主产品产量（千克）","露地圆白菜_人工成本（元）","露地圆白菜_土地成本（元）","露地圆白菜_平均出售价格（元）","露地圆白菜_物质与服务费用（元）","露地大白菜_主产品产量（千克）","露地大白菜_人工成本（元）","露地大白菜_土地成本（元）","露地大白菜_平均出售价格（元）","露地大白菜_物质与服务费用（元）","露地茄子_主产品产量（千克）","露地茄子_人工成本（元）","露地茄子_土地成本（元）","露地茄子_平均出售价格（元）","露地茄子_物质与服务费用（元）","露地菜椒_主产品产量（千克）","露地菜椒_人工成本（元）","露地菜椒_土地成本（元）","露地菜椒_平均出售价格（元）","露地菜椒_物质与服务费用（元）","露地菜花_主产品产量（千克）","露地菜花_人工成本（元）","露地菜花_土地成本（元）","露地菜花_平均出售价格（元）","露地菜花_物质与服务费用（元）","露地萝卜_主产品产量（千克）","露地萝卜_人工成本（元）","露地萝卜_土地成本（元）","露地萝卜_平均出售价格（元）","露地萝卜_物质与服务费用（元）","露地西红柿_主产品产量（千克）","露地西红柿_人工成本（元）","露地西红柿_土地成本（元）","露地西红柿_平均出售价格（元）","露地西红柿_物质与服务费用（元）","露地豆角_主产品产量（千克）","露地豆角_人工成本（元）","露地豆角_土地成本（元）","露地豆角_平均出售价格（元）","露地豆角_物质与服务费用（元）","露地马铃薯_主产品产量（千克）","露地马铃薯_人工成本（元）","露地马铃薯_土地成本（元）","露地马铃薯_平均出售价格（元）","露地马铃薯_物质与服务费用（元）","露地黄瓜_主产品产量（千克）","露地黄瓜_人工成本（元）","露地黄瓜_土地成本（元）","露地黄瓜_平均出售价格（元）","露地黄瓜_物质与服务费用（元）","农作物总播种面积（千公顷）","国有农场耕地面积（千公顷）","大豆播种面积（千公顷）","小麦播种面积（千公顷）","玉米播种面积（千公顷）","稻谷播种面积（千公顷）","耕地面积（万公顷）","中籼稻_主产品产量（千克）","中籼稻_人工成本（元）","中籼稻_土地成本（元）","中籼稻_平均出售价格（元）","中籼稻_总成本（元）","中籼稻_物质与服务费用（元）","大豆_主产品产量（千克）","大豆_人工成本（元）","大豆_土地成本（元）","大豆_平均出售价格（元）","大豆_总成本（元）","大豆_物质与服务费用（元）","小麦_主产品产量（千克）","小麦_人工成本（元）","小麦_土地成本（元）","小麦_平均出售价格（元）","小麦_总成本（元）","小麦_物质与服务费用（元）","早籼稻_主产品产量（千克）","早籼稻_人工成本（元）","早籼稻_土地成本（元）","早籼稻_平均出售价格（元）","早籼稻_总成本（元）","早籼稻_物质与服务费用（元）","晚籼稻_主产品产量（千克）","晚籼稻_人工成本（元）","晚籼稻_土地成本（元）","晚籼稻_平均出售价格（元）","晚籼稻_总成本（元）","晚籼稻_物质与服务费用（元）","玉米_主产品产量（千克）","玉米_人工成本（元）","玉米_土地成本（元）","玉米_平均出售价格（元）","玉米_总成本（元）","玉米_物质与服务费用（元）","粳稻_主产品产量（千克）","粳稻_人工成本（元）","粳稻_土地成本（元）","粳稻_平均出售价格（元）","粳稻_总成本（元）","粳稻_物质与服务费用（元）","油菜籽_主产品产量（千克）","油菜籽_人工成本（元）","油菜籽_土地成本（元）","油菜籽_平均出售价格（元）","油菜籽_物质与服务费用（元）","花生_主产品产量（千克）","花生_人工成本（元）","花生_土地成本（元）","花生_平均出售价格（元）","花生_物质与服务费用（元）","柑_主产品产量（千克）","柑_人工成本（元）","柑_土地成本（元）","柑_平均出售价格（元）","柑_物质与服务费用（元）","桔_主产品产量（千克）","桔_人工成本（元）","桔_土地成本（元）","桔_平均出售价格（元）","桔_物质与服务费用（元）","苹果_主产品产量（千克）","苹果_人工成本（元）","苹果_土地成本（元）","苹果_平均出售价格（元）","苹果_物质与服务费用（元）"
"11","Yunnan",2010,11.4,1.8,31.4,40.9,0.9,38.5,73.4,25.2,333.3,24.9,671.3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6437.3,12.7,128.4,428.9,1417.8,1021,NA,453.61,432.34,137.18,121.47,91.73,294.13,NA,NA,NA,NA,NA,NA,100.9,273.94,71.22,105.93,236.36,156.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.23,481.65,91.93,107.89,107.36,297.3,584.43,659.79,171.75,140.58,98.16,361.96,97.72,380.68,103.52,241.62,186.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Yunnan",2011,9.5,1.9,29.3,40.1,1.1,41.7,73.4,25.2,342.3,28.4,735.1,5.8,5838.62,873,118.86,29.11,876.91,6486.93,1063.22,199.75,29.48,761.48,4293.57,1340.8,150,45.3,1176.19,3429.98,1136.8,150,83.98,1142.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5168.54,2445.81,136.34,57.55,1653.84,NA,NA,NA,NA,NA,1444.46,306.43,76.43,36.13,467.85,4932.13,2139.28,100,66.03,1391.78,6667.5,12,125.3,437.9,1409,1073.5,NA,484.15,541.67,153.47,141.03,105.99,365.99,NA,NA,NA,NA,NA,NA,208.85,355.02,108.91,108.27,152.03,198.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.12,554.28,105.2,110.24,134.46,338.73,603.35,806.95,168.55,154.72,111.42,422.2,161.05,475.12,115.93,230.93,207.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Yunnan",2012,8.8,2,24.5,40.7,1.3,41.2,73.4,25.2,343.3,27.7,803.8,6,5531.94,1296.79,147.82,34.78,909.75,6659.89,1146.26,194.62,28.81,763.15,4667,1804.1,168.33,95.93,1135.73,3441.17,1571.92,150,84.83,1184.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4906.54,3322.99,178.74,58.11,1126.9,NA,NA,NA,NA,NA,1104.91,384.32,79.94,56.86,419.09,4869.49,3016.5,152.88,80.07,1313.43,6920.4,12.2,127.1,442.2,1456.9,1082.9,NA,488.62,733.31,166.94,145.16,128.99,397.47,NA,NA,NA,NA,NA,NA,181.46,476.65,121.58,116.55,209.96,202.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.15,783.75,117.26,128.36,154.63,370.81,591.84,1094.5,172.22,159.91,139.24,449.68,145.92,746.73,117.25,258.8,223.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Yunnan",2013,NA,NA,24.1,NA,NA,NA,73.4,25.2,357.6,25.2,900.8,NA,5438.33,1302.88,200,47.83,1077.94,6546.14,1382.17,223.15,34.83,932.05,4573.27,1949.83,200,121.94,1168.34,3239.67,2016.95,200,79.55,1178.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5017.56,4101.37,200,79.22,1521.7,NA,NA,NA,NA,NA,1680.21,561.09,103.97,66.62,522.19,4831.89,3603.59,200,103.36,1735.85,7148.2,12.4,124.8,437.3,1505.1,1152.7,622,509.6,867.37,184.59,136.59,140.16,425.48,NA,NA,NA,NA,NA,NA,174.89,573.43,128.3,125.76,249.76,218.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.69,912.05,126.87,124.32,164.87,374.83,617.22,1310.11,177.88,158,154.14,491,109.37,769.6,130.1,277.25,219.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Yunnan",2014,NA,NA,22.6,NA,NA,NA,76,23,359.5,26.3,947.5,NA,5549.86,1427.88,192.25,40.86,936.92,6574.96,1842,220.64,32.5,853.07,4309.11,2214.37,252.17,90.99,1078.64,3359.27,2213.4,300,54.54,904.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5120.46,4671.78,174.73,54.27,1290.18,NA,NA,NA,NA,NA,1689.27,434.22,118.32,58.46,527.34,4620.03,3897.82,140.17,86.24,1290.01,7194.4,12.4,124.1,434.4,1525.7,1144.7,NA,524.32,885.8,205.4,148.63,143.48,456.74,NA,NA,NA,NA,NA,NA,203.98,604.59,139.36,122.26,228.13,240.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.56,961.32,134.09,120.45,169.2,370.62,621.47,1220.8,186.05,153.55,144.25,456.27,142.19,766.49,169.22,265.81,238.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Yunnan",2015,NA,NA,23.4,NA,NA,NA,75.8,22.9,356,30.4,1004,NA,4871.96,1471.39,135.25,38.33,799.71,6372.07,1835.58,186.87,31.01,785.32,4270.99,2313.32,257.93,85.77,996.91,3499.28,2315.12,313.69,84.55,838.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5217.41,4298.79,132.67,62.9,1161.25,NA,NA,NA,NA,NA,1661.9,422.9,123.05,53.04,519.75,4673.91,4134.78,112.25,60.67,1345.9,7185.6,12.8,121.7,432.7,1517.3,1134.8,620.85,515.93,912,213.94,146.23,146.11,433.11,NA,NA,NA,NA,NA,NA,205.65,613.26,140.43,120.17,226.33,233.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.2,987.54,134.72,114.34,171.42,378.31,573.26,1276.44,183.28,156.25,159.56,440.15,157.58,794.97,170.46,243.64,221.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Yunnan",2016,NA,NA,20.5,NA,NA,NA,75.5,22.9,292.7,26.8,1040.1,NA,4403.91,1553.6818,133.43,34.44,830.95,6682.24,1652.8714,155.48,37.68,868.02,3533.47,2342.6106,241.07,73.74,813.69,3528.33,2333.738,200,77.63,757.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5337.73,3952.9878,137.55,73.43,1250.21,NA,NA,NA,NA,NA,1678.99,380.2322,124.44,58.2,513.95,4833.03,3018.5562,125.53,81.76,1221.92,6786.6,13.1,170.9,344.2,1784.8,881.4,620.78,515,848.1622,237.99,146.79,143.13,447.53,NA,NA,NA,NA,NA,NA,206.56,682.899,131.45,115.67,241.97,242.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.75,1030.1174,145.93,103.32,166.91,389.76,598.54,1230.7478,200.7,161.07,152.92,474.71,161.89,794.3258,174.09,241.95,228.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Yunnan",2017,NA,NA,20.3,NA,NA,NA,74.9,22.9,288.8,24.3,1084.8,NA,4506.87,1492.3929,212.07,38.68,871.94,6257.43,1510.2021,225.52,35.53,816.79,2576.26,2212.5375,256.04,85.63,716.04,3389.17,2584.41,270,91.81,1318.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5879.47,3955.7624,222.23,83.17,1349.1,NA,NA,NA,NA,NA,1390.52,385.5475,157.52,55.44,552.7,5163.36,2968.2489,200,87.69,1217.46,6790.8,12.3,173.1,343.7,1763.8,870.6,621.33,537.71,875.8709,250.1,137.18,144.62,479.2,NA,NA,NA,NA,NA,NA,235.57,623.397,149.73,116.72,200.56,223.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.3,951.4352,156.07,105.42,158.89,388.78,596.91,1179.5235,206.95,165.44,152.47,505.43,173.95,804.2601,184.22,260.16,238.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Yunnan",2018,NA,NA,20.7,NA,NA,NA,NA,NA,309.5,24.4,1131.9,NA,4667.8,1702.47,214.6,42.86,827.96,6683.68,1473.15,323.75,33.03,763.45,3051.97,2240.33,275.14,93.74,727.56,3602.96,2569.62,270,92.46,1786.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6582.51,4308.67,286.29,74.25,1633.04,NA,NA,NA,NA,NA,1441.73,327.06,128.29,58.13,496.69,5176.92,3466.82,200,108.25,1113.95,6890.8,12,176.3,339.2,1785.2,849.6,NA,504,944.21,246.71,152.72,158.21,465.52,NA,NA,NA,NA,NA,NA,215.25,663.53,151.56,119.95,228.5,229.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.26,946.23,161.34,109.26,158.66,406.05,607.81,1184.07,218.98,158.68,151.92,526.32,169.24,812.07,181.36,271.43,238.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Yunnan",2019,NA,NA,26,NA,NA,NA,78.3,18.4,314.1,24.9,1165,NA,5068.06,1678.62,200,35.32,882.74,7095.94,1579.88,371.8,21.66,812.92,3676.44,2231.11,275.94,69.04,741.26,1752.5,1962.55,270,90.9,1313.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6003.63,3928.22,200,93.72,1157.15,NA,NA,NA,NA,NA,1287.23,312.48,126,58.13,531.13,5483.68,3432.14,200,105.68,1085.45,6938.9,12.1,185.2,328.9,1782.4,841.5,539.55,508.47,941.95,288.79,157.76,162.2,478.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.87,950.54,165.84,114.93,164.02,414.65,615.07,1176.51,228.04,156.81,149.17,525.11,165.4,773.5,191.49,262.62,270.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
