"","region","year","大豆_主产品产量（千克）","大豆_人工成本（元）","大豆_土地成本（元）","大豆_平均出售价格（元）","大豆_总成本（元）","大豆_物质与服务费用（元）","小麦_主产品产量（千克）","小麦_人工成本（元）","小麦_土地成本（元）","小麦_平均出售价格（元）","小麦_总成本（元）","小麦_物质与服务费用（元）","玉米_主产品产量（千克）","玉米_人工成本（元）","玉米_土地成本（元）","玉米_平均出售价格（元）","玉米_总成本（元）","玉米_物质与服务费用（元）","稻谷_主产品产量（千克）","稻谷_人工成本（元）","稻谷_土地成本（元）","稻谷_平均出售价格（元）","稻谷_总成本（元）","稻谷_物质与服务费用（元）","corn_fp","rice_fp","soybean_fp","wheat_fp","柑_主产品产量（千克）","柑_人工成本（元）","柑_土地成本（元）","柑_平均出售价格（元）","柑_物质与服务费用（元）","桔_主产品产量（千克）","桔_人工成本（元）","桔_土地成本（元）","桔_平均出售价格（元）","桔_物质与服务费用（元）","苹果_主产品产量（千克）","苹果_人工成本（元）","苹果_土地成本（元）","苹果_平均出售价格（元）","苹果_物质与服务费用（元）","露地圆白菜_主产品产量（千克）","露地圆白菜_人工成本（元）","露地圆白菜_土地成本（元）","露地圆白菜_平均出售价格（元）","露地圆白菜_物质与服务费用（元）","露地大白菜_主产品产量（千克）","露地大白菜_人工成本（元）","露地大白菜_土地成本（元）","露地大白菜_平均出售价格（元）","露地大白菜_物质与服务费用（元）","露地茄子_主产品产量（千克）","露地茄子_人工成本（元）","露地茄子_土地成本（元）","露地茄子_平均出售价格（元）","露地茄子_物质与服务费用（元）","露地菜椒_主产品产量（千克）","露地菜椒_人工成本（元）","露地菜椒_土地成本（元）","露地菜椒_平均出售价格（元）","露地菜椒_物质与服务费用（元）","露地菜花_主产品产量（千克）","露地菜花_人工成本（元）","露地菜花_土地成本（元）","露地菜花_平均出售价格（元）","露地菜花_物质与服务费用（元）","露地萝卜_主产品产量（千克）","露地萝卜_人工成本（元）","露地萝卜_土地成本（元）","露地萝卜_平均出售价格（元）","露地萝卜_物质与服务费用（元）","露地西红柿_主产品产量（千克）","露地西红柿_人工成本（元）","露地西红柿_土地成本（元）","露地西红柿_平均出售价格（元）","露地西红柿_物质与服务费用（元）","露地豆角_主产品产量（千克）","露地豆角_人工成本（元）","露地豆角_土地成本（元）","露地豆角_平均出售价格（元）","露地豆角_物质与服务费用（元）","露地马铃薯_主产品产量（千克）","露地马铃薯_人工成本（元）","露地马铃薯_土地成本（元）","露地马铃薯_平均出售价格（元）","露地马铃薯_物质与服务费用（元）","露地黄瓜_主产品产量（千克）","露地黄瓜_人工成本（元）","露地黄瓜_土地成本（元）","露地黄瓜_平均出售价格（元）","露地黄瓜_物质与服务费用（元）"
"11","全国平均",2010,148.03,115.31,150.81,193.61,142.38,165.08,370.02,178.83,121.45,99.01,81.58,318.35,452.74,235.1,136.95,93.62,67.89,260.54,447.75,266.58,141.43,118,84.04,358.62,1.8805652173913,NA,3.82695652173913,2.28408695652174,1393.26,914.21,143.67,132.54,1054.04,1260.87,739.32,153.17,159.53,1031.76,1864.32,1707.2,259.82,238.05,1882.48,3819,887.56,214.09,40.75,655.96,4486.93,695.21,255.75,47.19,660.2,3675.06,1090.23,214.47,76.9,910.08,2182.17,1115.85,216.67,94.48,966.13,2302.74,815.95,251.38,102.95,857.78,3679.11,692.82,222.58,50.67,496.79,4681.07,1479.57,214.05,78.12,1280.36,2057.99,1043.06,188.24,117.96,744.55,856.01,306.98,208.41,92.37,420.25,4098.91,1385.3,228.17,74.26,1088.21
"12","全国平均",2011,146.32,136.38,172.98,204.17,163.4,179.41,389.17,225.68,129.27,103.95,89.19,357.33,472.24,295.49,160.29,106.07,78.91,308.45,464.45,327.96,159.68,134.53,95.15,409.34,2.426,NA,4.47221739130435,2.89765217391304,2099.05,1176.1,133.38,113.74,1405.1,1761.69,946.66,128.79,111.84,1152.23,1966.66,1944.15,299.13,222.93,1917.34,3774.61,1319.76,238.47,55.56,1720.73,3907.35,1017.63,261.4,47.78,1590.48,3497.48,1284.77,315.02,88.86,3009.24,2890.25,1235.1,275.13,102.01,2775.05,1754.16,733.71,191.74,78.54,604.95,4076.38,1817.93,238.27,59.56,1715.99,4626.5,3107.37,368.25,113.29,3220.76,1793.44,1466.07,229.67,155.4,1868.64,1528.42,371.04,153.93,44.01,567.93,3560.71,1955.77,256.34,93.73,2532.85
"13","全国平均",2012,146.68,177.5,195.97,236.39,193.37,204.73,382.76,291.4,142.35,108.31,105.6,396.69,492.55,398.4,181.24,111.13,91.55,344.58,478.75,426.62,174.97,138.07,108.65,453.51,2.40754545454545,NA,4.51236363636364,2.67104545454545,1770.84,1415.74,143.29,114.21,1278.5,1625.38,921.16,221.23,97.7,717.53,2058.55,2519.85,321.1,212.97,1904.42,3576.6,1042.69,258.11,48.51,870.73,4029.42,1123.56,269.1,37.87,1073.57,3368.69,1801.81,307.12,99.57,1673.47,2604.91,1879.5,254.23,123.76,1856.01,2220.28,1315.08,243.92,86.17,859.61,3183.58,1174.16,199,46.68,824.29,3650.13,1876.01,216.57,100.94,1475.39,1742.09,1666.42,262.04,151.22,1260.03,1561.2,516.99,184.77,57.15,597.45,3419.85,2161.58,296.15,97.85,1747.9
"14","全国平均",2013,138.04,200.95,220.68,234.36,222.39,204.27,374.32,343.78,153.85,117.81,119.48,417.08,488.01,455.37,196.96,108.81,101.07,359.71,471.67,489.31,193.28,136.52,120.34,468.52,2.4247619047619,NA,4.73290476190476,2.61052380952381,2033.03,1503.51,135.57,115.43,1323.67,1787.33,1339.66,271.1,123.6,838.85,1957.14,2746.83,337.97,207.93,1809.81,3247.56,1106.48,237.33,53.51,944.15,3852.04,1272.98,247.64,46.64,1015.61,2546.81,1826.16,237.79,111.57,2004.51,2133.86,1790.18,210.76,125.31,2020.78,2134.3,1483.1,265.21,119.45,840.65,3320.45,1445.1,197.33,48.89,789.84,3534.37,2218,240.93,111.73,1554.97,1399.63,1716.06,205.15,165.35,1266.08,1500.07,584.62,210.46,74.86,645.01,3008.44,2487.55,260.24,101.96,1644.99
"15","全国平均",2014,143.6,216.73,247.7,219.41,228.21,202.91,428.01,364.77,181.33,120.59,110.53,419.03,499.79,474.68,224.41,111.85,103.86,364.8,484.98,500.67,206.08,140.63,119.78,469.8,2.28795238095238,3.08966666666667,4.38761904761905,2.73271428571429,1998.59,1552.53,155.74,161.84,1458.04,1818.92,1545.82,321.49,135.79,967.89,1876.44,3186.83,358.83,237.38,1885.81,3239.43,1011.54,245.41,47.55,930.64,3839.75,1342.49,223.82,42.93,860.13,2861.89,1810.81,231.52,92.83,1850.69,2284.13,1958.27,227.37,113.24,1885.76,2080.64,1516.29,285.72,82.19,771.3,3078.41,1416.69,199.33,84.55,948.84,3449.8,2367.86,233.93,94.65,1700.64,1362.85,1791.36,211.31,157.97,1132.43,1513.3,574.88,210.19,57.54,605.26,3050.55,2678.3,239.16,98.1,1427.05
"16","全国平均",2015,138.35,215.16,257.74,198.12,238.86,201.81,420.79,364.39,199.68,116.43,114.41,420.23,488.81,468.72,238.78,94.23,107.55,376.22,492.64,508.59,214.84,138.02,120.45,478.69,2.33486363636364,2.92177272727273,4.26031818181818,2.61736363636364,2451.06,1765.38,123.58,153.68,1720.34,1694.38,1955.54,294.69,140.24,1346.01,2078.95,3253.8,340.5,180.06,1767.76,3211.45,1224.53,247.78,57.05,1040.23,3807.94,1439.03,245.5,44.18,899.9,2894.11,1657.77,258.63,91.93,1779.32,2286.76,1936.48,215.86,121.34,1810.53,2007.23,1579.3,267.9,99.65,765.92,3082.7,1521.08,260.43,52.92,924.97,3560.88,2723.78,255.14,108.39,1844.77,1390.93,1829.45,223.99,162,1175.22,1471.95,572.4,227.44,60.88,592.42,3268.5,2661.57,268.85,91.45,1416.91
"17","全国平均",2016,120.2,218.11,259,190.2,275.36,201.33,406.34,370.99,206.92,111.63,121.49,434.6,480.29,458.1,237.94,76.99,107.12,369.55,484.75,495.34,221.94,136.79,122.34,484.53,1.56669565217391,2.90065217391304,3.47634782608696,2.66808695652174,1644.45,1557.373,130.63,171.03,1705.17,1462.91,1624.8412,273.64,154.73,1213.47,2018.83,3369.15,337.73,155.6,1681.85,3166.47,1342.8136,243.98,59.39,984.76,3732.19,1387.798,253.19,46.25,855.71,2962.37,1747.514,256.22,92.53,1760.82,2217.72,1697.9846,205.85,115.51,1664.33,1378.12,1254.6542,264.68,109.01,820.35,3283.06,1475.2384,291.47,77.45,1002.48,3417.24,2526.8792,219.58,100.1,1437.12,1375.72,1791.0966,224.67,154.69,1121.19,1510.42,607.4854,235.91,59.59,631.47,3332.32,2660.062,284.06,93.21,1423.83
"18","全国平均",2017,140.03,215.85,251.29,188.26,234.07,201.66,423.54,361.87,207.12,116.59,115.89,438.65,501.53,441.2,210.3,82.16,99.14,374.98,481.1,482.93,229.31,137.85,124.24,497.95,1.72204347826087,3.17830434782609,3.94678260869565,2.753,1963.54,1691.5851,146.7,161.99,1772.63,1518.19,1809.2064,251.82,169.74,1290.88,2108.66,3110.96,320.61,161.1,1456.04,3090.62,1486.3177,266.45,54.96,1027.27,3609.73,1417.0653,248.33,44.65,866.84,2709.96,1734.8055,283.25,90.94,1833.27,2142.62,1543.5208,209.17,112.36,1588.85,1910.15,1767.4064,286.61,113.99,801.7,3482.17,1537.57,262.41,58.39,880.81,3470.44,2451.5461,212.94,99.42,1371.28,1469.81,1833.6969,223.16,163.59,1127.97,1492.59,630.0322,217.12,59,630.25,3272.67,2601.9692,281.39,96.6,1425.4
"19","全国平均",2018,126.46,204.27,258.05,183.09,257.22,204.01,368.99,350.76,211.93,112.18,133.13,450.25,487.02,433.52,227.54,87.8,104.07,383.76,491.88,473.85,235.12,129.42,122.81,514.67,1.77127272727273,3.35268181818182,3.78959090909091,2.63377272727273,1957.4,1812.18,142.58,178.37,2046.77,1546.55,1494.25,254.77,154.95,1180.05,1645.91,3065.22,326.22,228.31,1513.38,3023.81,1401.3,282.33,59.89,1089.23,3480.69,1317.23,237.06,46.1,893.22,2733.08,1744.08,254.03,97.77,1878.57,2222.5,1618.87,215.37,112.84,1723.56,1990.96,1876.18,294.7,118.31,848.68,3976.07,1537.09,295.69,52.11,963.83,3288.2,2360.42,202.01,112.38,1234.93,1454.51,1910.32,224.04,172.77,1126.92,1528.43,663.77,227.35,64.95,633.79,3182.44,2672.8,278.85,102.34,1421.63
"20","全国平均",2019,128.41,222.32,274.69,187.58,261.55,189.32,453.48,340.86,217.97,112.25,110.63,470.08,503.9,424.79,240.68,89.63,101.86,390.2,489.52,474.2,241.09,127.23,125.17,526.48,1.88328571428571,3.01428571428571,3.41433333333333,2.5747619047619,1679.89,1889.48,197.48,169.53,1708.31,1455.7,1156.47,238.77,146.46,1207.71,2065.62,3577.84,314.68,174.38,1901.99,3827.35,1678.44,379.41,52.84,895.1,4571.62,1630.91,317.04,39.29,740.06,3434.11,2836.77,463.4,105.17,1367.4,2454.31,2536.79,299.13,126.92,1275.93,2121.31,1888.82,279.96,98.43,828.89,4453.3,1639.48,347.65,48.86,1021.4,4991.06,3490.7,333.51,98.43,1685.43,1902.08,2503.09,396.8,187.37,1227.35,2586.77,596.21,340.36,48.2,875.5,3969.42,3324.17,406.16,104.51,1528.14
"21","全国平均",2020,133.56,226.19,288.24,242.97,265.17,206.09,430.33,334.07,222.89,114.18,116.06,469.54,502.62,437.96,249.53,115.56,105.07,392.49,467.79,467.41,244.05,137.54,132.37,542.06,2.02245454545454,2.97340909090909,4.02559090909091,2.51068181818182,1793.31,1998.34,186.15,149.23,1683.58,1368.05,1471.51,269.65,218.07,2609.21,1948.91,3833.15,323.38,206.85,1956.55,3629.15,1583.97,358.46,69.82,984.14,4539.88,1629.01,332.9,54.45,812.3,3526.55,2758.95,457.24,106.15,1391.04,2279.66,2533.27,366.32,145.12,1675.38,2442.56,1697.4,343.18,125.24,726.78,3821.76,1662.31,329.3,65.19,1047.15,5590.9,3434.29,365.84,100.41,1717.19,2028.33,2555.93,333.09,191.05,1216.58,2484.59,610.35,397.23,50.9,995.45,3628.95,3167.07,411.89,113.25,1619.43
"22","全国平均",2021,139.63,219.01,345.23,290.51,275.6,216.52,463.39,330.38,227.94,123.06,109.48,482.56,506.96,448.27,294.75,126.58,110.93,405.8,488.89,462.49,249.93,135.57,129.51,568.83,2.65634782608696,2.8015652173913,5.7,2.739,1545.42,1439.38,361.87,186.69,1181.28,890.52,1752.96,254.67,279.71,2281.62,1662.96,3366.87,328.11,164.33,1705.42,3827.91,1448.42,320.52,61.26,1355.94,4387.45,1738.79,353.25,64.38,867.7,3735.25,2924.55,519.89,117.2,1567.87,2434.66,2751.98,402.57,141.56,2093.61,1820.53,1735.31,254.56,252.68,772.96,3606.89,1651.65,307.07,76.44,1082.75,5050.38,3397.98,429.05,106.39,1916.52,2029.13,2685.6,405.62,203.53,1473.72,2513.4,527.88,438.1,48.69,933.15,3884.63,3475.31,471.05,124.68,1763
