"","province","city","year","region","acre_total","acre_corn","acre_soy","share_corn","share_soy"
"36","Heilongjiang","jiamusi",2012,"佳木斯",1125.854,452.047,178.053,0.401514761239024,0.158149280457324
"37","Heilongjiang","jiamusi",2013,"佳木斯",1125.856,504.7,103.514,0.448281130091237,0.0919424864281045
"38","Heilongjiang","jiamusi",2014,"佳木斯",1125.833,377.253,252.777,0.335087886036384,0.224524418808118
"39","Heilongjiang","jiamusi",2015,"佳木斯",1125.571,575.277,106.345,0.511097922743212,0.094480934565656
"40","Heilongjiang","jiamusi",2016,"佳木斯",1122.274,526.07,140.788,0.468753619882489,0.125448865428585
"41","Heilongjiang","jiamusi",2017,"佳木斯",1054.845083,333.8079769,2377.014686,0.316452133379286,2.25342538379164
"42","Heilongjiang","jiamusi",2018,"佳木斯",1208.3809,418.5493,251.7419,0.346371992473565,0.20832992312275
"43","Heilongjiang","jiamusi",2019,"佳木斯",1869.3067,407.91477976,370.84528333,0.218217149577434,0.198386537281442
"44","Heilongjiang","jiamusi",2020,"佳木斯",1871.8062,342.1716126,461.9581506,0.182802905877756,0.246798066274169
"45","Heilongjiang","jiamusi",2021,"佳木斯",1893.8767,468.0137,393.6549,0.247119413845685,0.207856667754559
"46","Heilongjiang","shuangyashan",2007,"双鸭山",369.616,101.124,156.563,0.273592052292109,0.423582853556123
"47","Heilongjiang","shuangyashan",2008,"双鸭山",401.967,125.707,172.51,0.312729651936602,0.429164583162299
"48","Heilongjiang","shuangyashan",2009,"双鸭山",415.412,170.019,157.242,0.409278017967704,0.378520601234437
"49","Heilongjiang","shuangyashan",2010,"双鸭山",419.13,200.243,137.252,0.477758690621048,0.32746880442822
"50","Heilongjiang","shuangyashan",2011,"双鸭山",420.906,261.673,75.806,0.621689878500188,0.180101970511231
"51","Heilongjiang","shuangyashan",2012,"双鸭山",420.674,275.748,46.806,0.655490950237001,0.111264304425755
"52","Heilongjiang","shuangyashan",2013,"双鸭山",420.906,270.404,47.133,0.642433227371432,0.111979871990421
"53","Heilongjiang","shuangyashan",2014,"双鸭山",420.906,245.988,69.53,0.58442502601531,0.165191277862516
"54","Heilongjiang","shuangyashan",2015,"双鸭山",411.244,294.588,28.884,0.716333855326765,0.0702356751709447
"55","Heilongjiang","shuangyashan",2016,"双鸭山",413.57,243.966,65.515,0.589902555794666,0.158413327852601
"56","Heilongjiang","shuangyashan",2017,"双鸭山",402.12057,159.7835167,1341.878183,0.397352258552702,3.33700457800505
"57","Heilongjiang","shuangyashan",2018,"双鸭山",403.0446,192.0165,118.8671,0.476415017097363,0.294922944011655
"58","Heilongjiang","shuangyashan",2019,"双鸭山",977.393,309.00197467,250.229396,0.316149158700748,0.256017176304721
"59","Heilongjiang","shuangyashan",2020,"双鸭山",971.8659,270.12404,282.2873905,0.27794373688798,0.290459198640471
"60","Heilongjiang","shuangyashan",2021,"双鸭山",1012.8079,375.0153,211.4756,0.370272881955206,0.208801293907759
"61","Heilongjiang","haerbin",2007,"哈尔滨",1773.522,780.316,449.782,0.439981009539211,0.253609484404479
"62","Heilongjiang","haerbin",2008,"哈尔滨",1828.234,810.232,420.496,0.443177405080531,0.230001192407536
"63","Heilongjiang","haerbin",2009,"哈尔滨",1944.042,949.326,403.746,0.488325869502819,0.207683784609592
"64","Heilongjiang","haerbin",2010,"哈尔滨",1983.488,995.038,386.813,0.501660710828601,0.19501655669205
"65","Heilongjiang","haerbin",2011,"哈尔滨",1990.771,1037.019,283.557,0.520913254211559,0.142435769860019
"66","Heilongjiang","haerbin",2012,"哈尔滨",2024.245,1105.324,204.713,0.54604259859849,0.101130544968618
"67","Heilongjiang","haerbin",2013,"哈尔滨",2033.375,1138.807,136.344,0.560057539804512,0.0670530521915535
"68","Heilongjiang","haerbin",2014,"哈尔滨",2043.959,1104.808,178.497,0.540523562361085,0.0873290511208884
"69","Heilongjiang","haerbin",2015,"哈尔滨",2038.437,1242.438,84.312,0.609505223855336,0.0413611016676012
"70","Heilongjiang","haerbin",2016,"哈尔滨",2009.197,1209.392,99.746,0.601928033935946,0.0496447088065531
"71","Heilongjiang","haerbin",2017,"哈尔滨",1915.794698,1090.436566,1537.373418,0.569182369665374,0.80247294744314
"72","Heilongjiang","haerbin",2018,"哈尔滨",1942.0925,1154.5896,219.5644,0.594508037078563,0.113055583088859
"73","Heilongjiang","haerbin",2019,"哈尔滨",2014.0367,1113.74256168,244.88869067,0.552990202055405,0.12159097729947
"74","Heilongjiang","haerbin",2020,"哈尔滨",2038.7648,1096.233975,270.799848,0.537695164738964,0.132825448035987
"75","Heilongjiang","haerbin",2021,"哈尔滨",2052.7003,1172.4788,191.7503,0.571188497414844,0.0934136853782308
"76","Heilongjiang","daxinganling",2007,"大兴安岭",138.939,0.333,76.933,0.00239673525791894,0.553717818611045
"77","Heilongjiang","daxinganling",2008,"大兴安岭",128.752,2.788,67.062,0.0216540325587175,0.52086181185535
"78","Heilongjiang","daxinganling",2009,"大兴安岭",173.121,0.947,111.324,0.00547016248750874,0.643041572079644
"79","Heilongjiang","daxinganling",2010,"大兴安岭",174.466,1.149,103.384,0.00658581041578302,0.592573911249183
"80","Heilongjiang","daxinganling",2011,"大兴安岭",174.943,1.591,108.957,0.00909439074441389,0.622814288082404
"81","Heilongjiang","daxinganling",2012,"大兴安岭",174.944,4.462,109.7,0.0255053045546003,0.627057801353576
"82","Heilongjiang","daxinganling",2013,"大兴安岭",174.943,6.903,130.807,0.0394585665045186,0.747712111945033
"83","Heilongjiang","daxinganling",2014,"大兴安岭",177.874,3.863,148.038,0.0217176203379921,0.832263287495643
"84","Heilongjiang","daxinganling",2015,"大兴安岭",177.723,10.974,146.024,0.0617477760334903,0.821638167260287
"85","Heilongjiang","daxinganling",2016,"大兴安岭",177.711,6.581,144.648,0.0370320351582063,0.813950740246805
"86","Heilongjiang","daxinganling",2017,"大兴安岭",155.0566722,2.04066667,1234.632657,0.0131607794817616,7.96246068926017
"87","Heilongjiang","daxinganling",2018,"大兴安岭",175.4551,7.5781,144.3716,0.0431911070125633,0.822840715373905
"88","Heilongjiang","daxinganling",2019,"大兴安岭",176.0401,1.66237485,163.11245667,0.00944316010954322,0.926564212756071
"89","Heilongjiang","daxinganling",2020,"大兴安岭",175.9062,1.68907,165.4861347,0.00960210612246754,0.940763513167814
"90","Heilongjiang","daxinganling",2021,"大兴安岭",183.2409,6.5423,152.1883,0.0357032736687061,0.830536741524409
"91","Heilongjiang","daqing",2007,"大庆",634.121,336.648,37.544,0.53088921514979,0.0592063659774712
"92","Heilongjiang","daqing",2008,"大庆",634.134,290.933,42.224,0.458787890256633,0.0665852958522962
"93","Heilongjiang","daqing",2009,"大庆",693.526,436.134,46.918,0.628864671259621,0.067651393026361
"94","Heilongjiang","daqing",2010,"大庆",724.415,495.983,49.258,0.684666938150094,0.0679969354582663
"95","Heilongjiang","daqing",2011,"大庆",733.51,504.096,33.656,0.687238074463879,0.0458834917042712
"96","Heilongjiang","daqing",2012,"大庆",751.418,513.736,32.538,0.683688705886737,0.0433021301060129
"97","Heilongjiang","daqing",2013,"大庆",751.106,517.702,26.622,0.689252915034629,0.035443732309421
"98","Heilongjiang","daqing",2014,"大庆",757.398,534.142,20.493,0.705232915851375,0.0270571086799807
"99","Heilongjiang","daqing",2015,"大庆",752.253,558.446,12.886,0.742364603398059,0.0171298751882678
"100","Heilongjiang","daqing",2016,"大庆",752.533,446.612,14.503,0.593478292646303,0.0192722445394421
"101","Heilongjiang","daqing",2017,"大庆",719.259639,399.3096069,297.5744,0.555167543468959,0.413723200725851
"102","Heilongjiang","daqing",2018,"大庆",709.012,421.1574,70.7954,0.594006025285891,0.0998507782660942
"103","Heilongjiang","daqing",2019,"大庆",757.1427,444.97481809,69.66553667,0.587702711906223,0.092011105264569
"104","Heilongjiang","daqing",2020,"大庆",776.1437,475.6248963,85.6183744,0.612805201279093,0.110312528981424
"105","Heilongjiang","daqing",2021,"大庆",784.676,496.1019,64.0406,0.632237891817769,0.0816140674622392
"106","Heilongjiang","mudanjiang",2007,"牡丹江",458.924,147.468,182.601,0.321334251422894,0.397889410882848
"107","Heilongjiang","mudanjiang",2008,"牡丹江",477.505,135.522,204.399,0.283812734945184,0.428056250719888
"108","Heilongjiang","mudanjiang",2009,"牡丹江",566.498,192.618,242.313,0.340015322207669,0.427738491574551
"109","Heilongjiang","mudanjiang",2010,"牡丹江",588.192,198.569,243.42,0.337592146782003,0.413844458952179
"110","Heilongjiang","mudanjiang",2011,"牡丹江",626.673,259.795,219.771,0.414562299636334,0.350694859998755
"111","Heilongjiang","mudanjiang",2012,"牡丹江",632.473,291.031,184.795,0.460147705909976,0.292178480346197
"112","Heilongjiang","mudanjiang",2013,"牡丹江",635.063,296.388,179.68,0.466706452745633,0.282932559446858
"113","Heilongjiang","mudanjiang",2014,"牡丹江",646.819,300.893,189.997,0.465188870456805,0.293740598219904
"114","Heilongjiang","mudanjiang",2015,"牡丹江",645.9,377.844,115.279,0.584988388295402,0.178478092583991
"115","Heilongjiang","mudanjiang",2016,"牡丹江",651.975,309.272,130.583,0.474361746999502,0.200288354614824
"116","Heilongjiang","mudanjiang",2017,"牡丹江",651.6029708,272.1649588,1684.201332,0.417685263874491,2.5847048087154
"117","Heilongjiang","mudanjiang",2018,"牡丹江",633.8474,320.9913,184.2317,0.506417317480517,0.290656236816622
"118","Heilongjiang","mudanjiang",2019,"牡丹江",688.5605,325.67149542,218.619718,0.47297440881375,0.317502554967937
"119","Heilongjiang","mudanjiang",2020,"牡丹江",699.5217,321.082102,249.8733438,0.45900234688931,0.357205993466679
"120","Heilongjiang","mudanjiang",2021,"牡丹江",708.1175,366.093,212.9262,0.5169947077992,0.300693317140164
"121","Heilongjiang","suihua",2007,"绥化",1651.217,816.684,301.774,0.49459519857172,0.182758535068377
"122","Heilongjiang","suihua",2008,"绥化",1661.503,812.918,341.938,0.489266645922397,0.205800410832842
"123","Heilongjiang","suihua",2009,"绥化",1759.439,1018.975,367.312,0.57914767150211,0.208766544336007
"124","Heilongjiang","suihua",2010,"绥化",1785.166,1072.922,340.025,0.60102085744407,0.190472482671079
"125","Heilongjiang","suihua",2011,"绥化",1850.715,1215.716,237.395,0.656889904712503,0.128272046209168
"126","Heilongjiang","suihua",2012,"绥化",1902.05,1354.744,118.874,0.7122546725901,0.0624978312872953
"127","Heilongjiang","suihua",2013,"绥化",1914.469,1390.236,95.022,0.726173158196868,0.049633605976383
"128","Heilongjiang","suihua",2014,"绥化",1908.431,1157.252,343.197,0.606389227590623,0.179832019077452
"129","Heilongjiang","suihua",2015,"绥化",1905.836,1283.895,227.323,0.673664995309145,0.119277314522341
"130","Heilongjiang","suihua",2016,"绥化",1892.644,1158.115,261.425,0.611903242236786,0.138126874362004
"131","Heilongjiang","suihua",2017,"绥化",1848.71672,978.9596694,3861.828354,0.529534708486869,2.08892379899069
"132","Heilongjiang","suihua",2018,"绥化",1850.2506,1060.0664,345.0229,0.572931255906632,0.186473605251094
"133","Heilongjiang","suihua",2019,"绥化",1902.4159,920.59801929,495.453598,0.483909969050406,0.260433903017737
"134","Heilongjiang","suihua",2020,"绥化",1895.3479,966.9908175,503.7139748,0.510191726542657,0.265763332842482
"135","Heilongjiang","suihua",2021,"绥化",1875.3117,1068.8521,388.8461,0.569959703232268,0.207350116783253
"136","Heilongjiang","jixi",2007,"鸡西",349.729,78.292,124.09,0.223864763860017,0.354817587331906
"137","Heilongjiang","jixi",2008,"鸡西",414.114,77.131,147.374,0.186255475545381,0.355877850060611
"138","Heilongjiang","jixi",2009,"鸡西",476.861,117.908,192.819,0.247258635115893,0.404350534013056
"139","Heilongjiang","jixi",2010,"鸡西",476.164,137.019,166.064,0.287755899227997,0.348753790710764
"140","Heilongjiang","jixi",2011,"鸡西",476.183,183.41,110.319,0.38516704712264,0.231673537274535
"141","Heilongjiang","jixi",2012,"鸡西",484.947,223.751,72.425,0.461392688273151,0.14934621721549
"142","Heilongjiang","jixi",2013,"鸡西",492.667,249.673,55.516,0.506778412193226,0.112684632825012
"143","Heilongjiang","jixi",2014,"鸡西",492.891,249.775,56.025,0.506755043204278,0.113666104676287
"144","Heilongjiang","jixi",2015,"鸡西",491.423,267.228,33.767,0.543784071970583,0.0687126976148858
"145","Heilongjiang","jixi",2016,"鸡西",442.949,192.387,59.57,0.434332169166202,0.134485008432122
"146","Heilongjiang","jixi",2017,"鸡西",432.1996773,151.0407047,911.1533333,0.349469730388436,2.10817680150082
"147","Heilongjiang","jixi",2018,"鸡西",486.1547,216.9965,64.0666,0.446352776184206,0.131782331837993
"148","Heilongjiang","jixi",2019,"鸡西",933.9502,308.16716392,127.60964133,0.32996102353209,0.136634310191271
"149","Heilongjiang","jixi",2020,"鸡西",927.9983,276.620134,142.2184218,0.298082587004739,0.153252890441717
"150","Heilongjiang","jixi",2021,"鸡西",958.5099,338.4763,92.5548,0.35312759941238,0.0965611309804938
"151","Heilongjiang","hegang",2007,"鹤岗",149.911,40.533,64.534,0.27038042571926,0.430482086037716
"152","Heilongjiang","hegang",2008,"鹤岗",156.639,49.57,61.974,0.316460140833381,0.395648593262214
"153","Heilongjiang","hegang",2009,"鹤岗",189.172,71.626,67.92,0.378628972575223,0.359038335483052
"154","Heilongjiang","hegang",2010,"鹤岗",194.295,61.917,59.618,0.318675210375975,0.306842687665663
"155","Heilongjiang","hegang",2011,"鹤岗",200.634,76.714,22.465,0.382357925376556,0.111970054925885
"156","Heilongjiang","hegang",2012,"鹤岗",203.236,69.597,17.244,0.342444252002598,0.0848471727449861
"157","Heilongjiang","hegang",2013,"鹤岗",203.266,58.263,18.138,0.286634262493481,0.0892328279200653
"158","Heilongjiang","hegang",2014,"鹤岗",203.786,46.025,37.415,0.225849665825915,0.183599462180915
"159","Heilongjiang","hegang",2015,"鹤岗",203.726,83.062,12.972,0.407714282909398,0.0636737578905
"160","Heilongjiang","hegang",2016,"鹤岗",204.077,76.4,19.319,0.374368498164908,0.09466524890115
"161","Heilongjiang","hegang",2017,"鹤岗",188.2836449,38.49498981,447.3603204,0.204452117072862,2.37599139658465
"162","Heilongjiang","hegang",2018,"鹤岗",201.6973,54.0562,36.6538,0.268006562308965,0.18172677571787
"163","Heilongjiang","hegang",2019,"鹤岗",520.2106,123.52531032,94.76937,0.23745250542761,0.182175007583467
"164","Heilongjiang","hegang",2020,"鹤岗",533.5154,105.217084,122.7294077,0.197214708328944,0.23003910983638
"165","Heilongjiang","hegang",2021,"鹤岗",550.6046,165.6846,75.1732,0.300913940784367,0.136528463438191
"166","Heilongjiang","heihe",2007,"黑河",844.736,11.867,610.733,0.0140481759981817,0.722986826653534
"167","Heilongjiang","heihe",2008,"黑河",851.587,30.024,580.054,0.035256526931482,0.68114473330382
"168","Heilongjiang","heihe",2009,"黑河",1107.708,20.457,861.588,0.0184678633719356,0.777811481004019
"169","Heilongjiang","heihe",2010,"黑河",1141.542,64.778,745.925,0.0567460505176332,0.653436316841606
"170","Heilongjiang","heihe",2011,"黑河",1200.81,82.52,669.526,0.0687202804773445,0.55756197899751
"171","Heilongjiang","heihe",2012,"黑河",1210.305,165.076,536.148,0.136392066462586,0.442985858936384
"172","Heilongjiang","heihe",2013,"黑河",1222.308,332.567,569.011,0.272081177575537,0.465521783380294
"173","Heilongjiang","heihe",2014,"黑河",1232.329,327.582,706.485,0.265823493563813,0.573292521721066
"174","Heilongjiang","heihe",2015,"黑河",1260.527,478.209,643.446,0.379372278420058,0.510457927517618
"175","Heilongjiang","heihe",2016,"黑河",1298.854,219.132,872.637,0.168711802866219,0.67185149370137
"176","Heilongjiang","heihe",2017,"黑河",1112.144339,125.3435546,8135.102774,0.112704394748531,7.31479043566844
"177","Heilongjiang","heihe",2018,"黑河",1279.0621,288.091,797.0313,0.225236132006413,0.623137297243035
"178","Heilongjiang","heihe",2019,"黑河",1846.0395,325.54770116,1346.36336085,0.176349260760672,0.729325326381153
"179","Heilongjiang","heihe",2020,"黑河",1854.8666,291.9494467,1448.040425,0.157396465438539,0.780670925337704
"180","Heilongjiang","heihe",2021,"黑河",1867.9194,529.6242,1213.6455,0.283536966316641,0.649731192898366
"181","Heilongjiang","qiqihaer",2007,"齐齐哈尔",2025.982,716.801,702.268,0.353804229257713,0.346630917747542
"182","Heilongjiang","qiqihaer",2008,"齐齐哈尔",2078.682,782.856,634.031,0.376611718386939,0.305015870633411
"183","Heilongjiang","qiqihaer",2009,"齐齐哈尔",2268.307,946.545,857.237,0.41729139838655,0.377919302810422
"184","Heilongjiang","qiqihaer",2010,"齐齐哈尔",2287.338,963.535,839.234,0.421247318935811,0.366904235403775
"185","Heilongjiang","qiqihaer",2011,"齐齐哈尔",2287.521,1100.02,703.413,0.480878645485659,0.307500127867679
"186","Heilongjiang","qiqihaer",2012,"齐齐哈尔",2291.548,1225.866,559.182,0.534951046192356,0.244019326673498
"187","Heilongjiang","qiqihaer",2013,"齐齐哈尔",2292.824,1413.214,394.56,0.616363925011252,0.172084730445948
"188","Heilongjiang","qiqihaer",2014,"齐齐哈尔",2294.284,1294.108,525.7,0.564057457577179,0.229134666850311
"189","Heilongjiang","qiqihaer",2015,"齐齐哈尔",2294.284,1445.409,347.676,0.630004393527567,0.151540088323852
"190","Heilongjiang","qiqihaer",2016,"齐齐哈尔",2303.103,1249.601,500.476,0.542572781156553,0.217305087961763
"191","Heilongjiang","qiqihaer",2017,"齐齐哈尔",2241.627009,1021.387576,5774.730487,0.455645641268235,2.5761335243619
"192","Heilongjiang","qiqihaer",2018,"齐齐哈尔",2284.9439,1247.7505,522.1963,0.546074894880352,0.228537908523706
"193","Heilongjiang","qiqihaer",2019,"齐齐哈尔",2442.9587,1177.12104207,691.31224523,0.481842383201157,0.282981552340611
"194","Heilongjiang","qiqihaer",2020,"齐齐哈尔",2520.9304,1072.374972,886.6753125,0.425388567649468,0.35172542347857
"195","Heilongjiang","qiqihaer",2021,"齐齐哈尔",2503.2208,1247.1368,684.7692,0.498212862405106,0.273555253296074
"196","Inner mongolia","wulanchabu",2007,"乌兰察布市",555.69,39.0196317522253,1.59891737892139,0.0702183443146814,0.00287735496215766
"197","Inner mongolia","wulanchabu",2008,"乌兰察布市",582.5,66.0175493887571,10.2988668593366,0.113334848736064,0.0176804581276165
"198","Inner mongolia","wulanchabu",2009,"乌兰察布市",583.49,38.3778943328643,3.8139213121124,0.0657730112476037,0.00653639533173216
"199","Inner mongolia","wulanchabu",2010,"乌兰察布市",595.05,43.1088574965659,6.84611584100149,0.0724457734586436,0.0115051102277145
"200","Inner mongolia","wulanchabu",2011,"乌兰察布市",603.04,40.2538560936912,4.45476889349858,0.0667515522912099,0.0073871864113468
"201","Inner mongolia","wulanchabu",2012,"乌兰察布市",619.66,47.8156611773674,5.30002234483233,0.077164350090965,0.00855311355393656
"202","Inner mongolia","wulanchabu",2013,"乌兰察布市",626.29,57.0789546248353,8.65035285167301,0.0911382181175419,0.013812056478106
"203","Inner mongolia","wulanchabu",2014,"乌兰察布市",644.97,47.2334058339889,12.323206741186,0.0732334927732901,0.0191066355662836
"204","Inner mongolia","wulanchabu",2015,"乌兰察布市",669.0569,40.9482432371062,8.54195407248195,0.0612029309272593,0.0127671563845795
"205","Inner mongolia","wulanchabu",2016,"乌兰察布市",659.76009,41.5486241283647,10.7130464696903,0.0629753523411286,0.0162377910274783
"206","Inner mongolia","wulanchabu",2017,"乌兰察布市",728.31369,44.7235201333294,18.1536982017053,0.0614069469617266,0.0249256583405776
"207","Inner mongolia","wulanchabu",2018,"乌兰察布市",684.10909,44.5239085239085,22.6923013710114,0.0650830535286536,0.0331705888764194
"208","Inner mongolia","wulanchabu",2019,"乌兰察布市",676.86,54.0019420169233,26.146087091203,0.079783030489205,0.0386285008586753
"209","Inner mongolia","wulanchabu",2020,"乌兰察布市",662.95,58.2494492931433,24.7896474044499,0.0878640158279559,0.0373929367289387
"210","Inner mongolia","wulanchabu",2021,"乌兰察布市",662.24,64.355323391468,22.1412849980057,0.097178248658293,0.0334339287841351
"211","Inner mongolia","wuhai",2007,"乌海市",6.96,4.25035274443883,0,0.610682865580292,0
"212","Inner mongolia","wuhai",2008,"乌海市",7.4,4.47857747109659,0,0.605213171769809,0
"213","Inner mongolia","wuhai",2009,"乌海市",7.58,4.93430069993969,0,0.650963153026345,0
"214","Inner mongolia","wuhai",2010,"乌海市",7.75,5.00279817525056,NA,0.645522345193621,NA
"215","Inner mongolia","wuhai",2011,"乌海市",6.36,5.086935898065,NA,0.799832688375,NA
"216","Inner mongolia","wuhai",2012,"乌海市",6.69,5.35166981626463,NA,0.799950645181559,NA
"217","Inner mongolia","wuhai",2013,"乌海市",6.85,5.68338490762585,NA,0.829691227390635,NA
"218","Inner mongolia","wuhai",2014,"乌海市",7.06,5.56866737624755,NA,0.788763084454328,NA
"219","Inner mongolia","wuhai",2015,"乌海市",7.05726,5.44967377647255,NA,0.772208162441592,NA
"220","Inner mongolia","wuhai",2016,"乌海市",7.14876,5.5397765614456,NA,0.774928317840521,NA
"221","Inner mongolia","wuhai",2017,"乌海市",6.80915,5.33153775185262,NA,0.782996079077803,NA
"222","Inner mongolia","wuhai",2018,"乌海市",5.97372,4.61607761607762,NA,0.772730830383348,NA
"223","Inner mongolia","wuhai",2019,"乌海市",5.69,4.25856568178666,NA,0.748429821052136,NA
"224","Inner mongolia","wuhai",2020,"乌海市",5.7,4.32200317876363,NA,0.758246171712917,NA
"225","Inner mongolia","wuhai",2021,"乌海市",5.66,4.6339202965709,0.0478213498877012,0.818713833316413,0.00844900174694368
"226","Inner mongolia","xingan",2007,"兴安盟",693.8,204.57435504381,89.8300854703109,0.294860701994537,0.129475476319272
"227","Inner mongolia","xingan",2008,"兴安盟",735.9,264.567817274039,139.034702601044,0.359515990316672,0.188931515968262
"228","Inner mongolia","xingan",2009,"兴安盟",745.87,255.615051444654,140.000250010772,0.342707243145124,0.187700604677453
"229","Inner mongolia","xingan",2010,"兴安盟",761.24,301.897671579019,112.129597310117,0.396586715857047,0.147298614510689
"230","Inner mongolia","xingan",2011,"兴安盟",766.95,334.380162585668,102.861015081413,0.435986912557101,0.134116976440984
"231","Inner mongolia","xingan",2012,"兴安盟",773.51,384.129202331232,54.0980852197528,0.496605347482556,0.0699384432260124
"232","Inner mongolia","xingan",2013,"兴安盟",780.46,510.355709427372,45.0879240617862,0.65391654848086,0.0577709607946419
"233","Inner mongolia","xingan",2014,"兴安盟",791.94,537.692628071637,50.3154997233485,0.678956269504807,0.0635344845863935
"234","Inner mongolia","xingan",2015,"兴安盟",831.411,574.562133850043,48.3186438196419,0.691068717938593,0.0581164355771596
"235","Inner mongolia","xingan",2016,"兴安盟",909.4868,544.350333658244,81.0307525376842,0.598524721478359,0.0890950286883594
"236","Inner mongolia","xingan",2017,"兴安盟",1066.06385,612.641320198804,106.639220592465,0.574676010446094,0.100030800774705
"237","Inner mongolia","xingan",2018,"兴安盟",1123.22324,627.002286902287,155.559264088297,0.558216981783859,0.138493630249582
"238","Inner mongolia","xingan",2019,"兴安盟",1137.67,650.228880565959,158.342216398623,0.571544367493174,0.139181147783297
"239","Inner mongolia","xingan",2020,"兴安盟",1139.02,686.194685330285,146.722846925014,0.6024430522118,0.128814987379514
"240","Inner mongolia","xingan",2021,"兴安盟",1125.66,755.834526918864,110.323854190927,0.671458990209179,0.0980081500550137
"241","Inner mongolia","baotou",2007,"包头市",294.69,132.039646732977,0.629876543211458,0.448062868549923,0.00213742082599158
"242","Inner mongolia","baotou",2008,"包头市",304.6,130.873986099823,0.429119452472358,0.429658522980376,0.00140879662663282
"243","Inner mongolia","baotou",2009,"包头市",305.81,145.909099215994,0.76278426242248,0.477123374696689,0.00249430778072162
"244","Inner mongolia","baotou",2010,"包头市",310.07,135.889565350111,0.489008274357249,0.438254475925149,0.00157708992923291
"245","Inner mongolia","baotou",2011,"包头市",312.82,131.589708359913,0.280931371662072,0.420656314685484,0.000898060775084944
